,Iteration,Time,Fitness,Restarts,max_iters,current_restart
72,72,0.007201092999999048,8.0,10,2500,0
73,73,0.007230853000002924,8.0,10,2500,0
74,74,0.007263233000003311,8.0,10,2500,0
75,75,0.007293844000002991,8.0,10,2500,0
76,76,0.007326673000001449,8.0,10,2500,0
77,77,0.0073615100000026246,8.0,10,2500,0
78,78,0.007392138000000159,8.0,10,2500,0
79,79,0.007425208000000794,8.0,10,2500,0
80,80,0.007459361999998748,8.0,10,2500,0
81,81,0.00749159000000077,8.0,10,2500,0
82,82,0.007525143999998818,8.0,10,2500,0
83,83,0.0075596830000037585,8.0,10,2500,0
84,84,0.007597336000003452,8.0,10,2500,0
85,85,0.007632690000001219,8.0,10,2500,0
86,86,0.007667417000000398,8.0,10,2500,0
87,87,0.007711468000003663,8.0,10,2500,0
88,88,0.007767331000003708,8.0,10,2500,0
89,89,0.007802208000001087,8.0,10,2500,0
90,90,0.007834379000001945,8.0,10,2500,0
91,91,0.007866685000003315,8.0,10,2500,0
92,92,0.007897363000004987,8.0,10,2500,0
93,93,0.007933446999999205,8.0,10,2500,0
94,94,0.00797355000000266,8.0,10,2500,0
95,95,0.008071215000001075,8.0,10,2500,0
96,96,0.008115240000002188,8.0,10,2500,0
97,97,0.00814829300000497,8.0,10,2500,0
98,98,0.008180000000002963,8.0,10,2500,0
99,99,0.008210230000003094,8.0,10,2500,0
100,100,0.008241375000004325,8.0,10,2500,0
101,101,0.008272998000002474,8.0,10,2500,0
102,102,0.008305358000001206,8.0,10,2500,0
103,103,0.008338368000003982,8.0,10,2500,0
104,104,0.008370257000002823,8.0,10,2500,0
105,105,0.008402567000004524,8.0,10,2500,0
106,106,0.008433534000005238,8.0,10,2500,0
107,107,0.008465335000003904,8.0,10,2500,0
108,108,0.008495235000005152,8.0,10,2500,0
109,109,0.008530512000000101,8.0,10,2500,0
110,110,0.008561700000001338,8.0,10,2500,0
111,111,0.008592927999998778,8.0,10,2500,0
112,112,0.008625008000002765,8.0,10,2500,0
113,113,0.0086575670000002,8.0,10,2500,0
114,114,0.008690274000002773,8.0,10,2500,0
115,115,0.008721182000002159,8.0,10,2500,0
116,116,0.008754422999999179,8.0,10,2500,0
117,117,0.00878765299999884,8.0,10,2500,0
118,118,0.008819309999999803,8.0,10,2500,0
119,119,0.00885290300000463,8.0,10,2500,0
120,120,0.008888357000003566,8.0,10,2500,0
121,121,0.008922812000001556,8.0,10,2500,0
122,122,0.008955413000002466,8.0,10,2500,0
123,123,0.008990697000001546,8.0,10,2500,0
124,124,0.009024285000002408,8.0,10,2500,0
125,125,0.00906157600000057,8.0,10,2500,0
126,126,0.00909870499999954,8.0,10,2500,0
127,127,0.009133697999999413,8.0,10,2500,0
128,128,0.009177383000000816,8.0,10,2500,0
129,129,0.009222507000004043,8.0,10,2500,0
130,130,0.009259575000001519,8.0,10,2500,0
