,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
175,175,17.633499667000024,11.952,1000,0.75,25
176,176,19.28583587900016,11.952,1000,0.75,25
177,177,20.901958926000134,11.952,1000,0.75,25
178,178,22.547889017999978,11.952,1000,0.75,25
179,179,24.196367766000094,11.952,1000,0.75,25
180,180,25.770548211000005,11.952,1000,0.75,25
181,181,27.420426262000092,11.952,1000,0.75,25
182,182,29.063395838000133,11.952,1000,0.75,25
183,183,30.665108590000045,11.952,1000,0.75,25
184,184,32.29732520000016,11.952,1000,0.75,25
185,185,33.93624143000011,11.952,1000,0.75,25
186,186,35.57205841100017,11.952,1000,0.75,25
187,187,3.0897974669999257,9.206,2000,0.1,25
188,188,6.362971079999852,11.952,2000,0.1,25
189,189,9.601698958000043,11.952,2000,0.1,25
190,190,12.868564811999931,11.952,2000,0.1,25
191,191,16.148695177000036,11.952,2000,0.1,25
192,192,19.42122417099995,11.952,2000,0.1,25
193,193,22.722699159000058,11.952,2000,0.1,25
194,194,25.997383867000053,11.952,2000,0.1,25
195,195,29.27376140199999,11.952,2000,0.1,25
196,196,32.53468104600006,11.952,2000,0.1,25
197,197,35.817259783000054,11.952,2000,0.1,25
198,198,39.00083386699998,11.952,2000,0.1,25
199,199,42.20930501499993,11.952,2000,0.1,25
200,200,45.53429805499991,11.952,2000,0.1,25
201,201,48.80624656099985,11.952,2000,0.1,25
202,202,52.09595372099989,11.952,2000,0.1,25
203,203,55.414054093000004,11.952,2000,0.1,25
204,204,58.66496104499993,11.952,2000,0.1,25
205,205,61.88976967799999,11.952,2000,0.1,25
206,206,65.13485631499998,11.952,2000,0.1,25
207,207,68.40299899599995,11.952,2000,0.1,25
208,208,71.65971292099994,11.952,2000,0.1,25
209,209,3.1078826759999174,9.206,2000,0.25,25
210,210,6.358920405999925,11.952,2000,0.25,25
211,211,9.613225113999988,11.952,2000,0.25,25
212,212,12.879485212999953,11.952,2000,0.25,25
213,213,16.19576630099982,11.952,2000,0.25,25
214,214,19.461551009999994,11.952,2000,0.25,25
215,215,22.755248318999975,11.952,2000,0.25,25
216,216,25.971350806999908,11.952,2000,0.25,25
217,217,29.169908223999983,11.952,2000,0.25,25
218,218,32.452219412999966,11.952,2000,0.25,25
219,219,35.728726516999814,11.952,2000,0.25,25
220,220,38.934520642999814,11.952,2000,0.25,25
221,221,42.21883669399995,11.952,2000,0.25,25
222,222,45.42276816399999,11.952,2000,0.25,25
223,223,48.691178146999846,11.952,2000,0.25,25
224,224,51.91741680799987,11.952,2000,0.25,25
225,225,55.218152308999834,11.952,2000,0.25,25
226,226,58.51171192999982,11.952,2000,0.25,25
227,227,61.76598356499994,11.952,2000,0.25,25
228,228,64.998034039,11.952,2000,0.25,25
229,229,68.23426909699992,11.952,2000,0.25,25
230,230,71.8429536289998,11.952,2000,0.25,25
231,231,3.3859203459999208,9.206,2000,0.5,25
232,232,6.995842780999965,11.952,2000,0.5,25
233,233,10.239151269999866,11.952,2000,0.5,25
234,234,13.674109111999996,11.952,2000,0.5,25
235,235,16.9027999299999,11.952,2000,0.5,25
236,236,20.164564277999943,11.952,2000,0.5,25
237,237,23.70076466799992,11.952,2000,0.5,25
238,238,27.076830599999994,11.952,2000,0.5,25
239,239,30.403268459999936,11.952,2000,0.5,25
240,240,33.665547523999976,11.952,2000,0.5,25
241,241,36.91321565699991,11.952,2000,0.5,25
